Date,ECMWF_Predicted_High
2022-01-21,7.72
2022-01-23,7.12
2022-01-24,5.16
2022-01-25,4.44
2022-01-26,6.76
2022-01-27,5.52
2022-01-28,13.18
2022-01-29,9.72
2022-01-30,12.79
2022-01-31,8.34
2022-02-01,10.29
2022-02-02,13.65
2022-02-03,11.25
2022-02-04,9.69
2022-02-05,10.6
2022-02-06,8.58
2022-02-07,10.07
2022-02-08,11.23
2022-02-09,11.73
2022-02-10,11.46
2022-02-11,12.34
2022-02-12,9.59
2022-02-13,8.14
2022-02-14,3.61
2022-02-15,7.57
2022-02-16,9.97
2022-02-17,13.34
2022-02-18,9.88
2022-02-19,13.11
2022-02-20,13.85
2022-02-21,13.48
2022-02-22,14.0
2022-02-23,15.14
2022-02-24,12.02
2022-02-25,12.82
2022-02-26,12.08
2022-02-27,9.98
2022-02-28,11.46
2022-03-01,8.74
2022-03-02,10.2
2022-03-03,12.14
2022-03-04,10.76
2022-03-05,8.52
2022-03-06,8.49
2022-03-07,9.43
2022-03-08,8.5
2022-03-09,10.84
2022-03-10,13.08
2022-03-11,10.71
2022-03-12,7.73
2022-03-13,9.9
2022-03-14,12.62
2022-03-15,13.82
2022-03-16,16.26
2022-03-17,13.67
2022-03-18,12.02
2022-03-19,13.3
2022-03-20,13.56
2022-03-21,12.93
2022-03-22,14.38
2022-03-23,18.19
2022-03-24,20.13
2022-03-25,19.5
2022-03-26,20.2
2022-03-27,20.78
2022-03-28,20.63
2022-03-29,18.49
2022-03-30,12.08
2022-03-31,16.16
2022-04-01,14.02
2022-04-02,7.22
2022-05-01,20.23
2022-05-05,15.85
2022-05-06,17.16
2022-05-07,20.05
2022-05-08,19.57
2022-05-09,22.18
2022-05-10,23.98
2022-05-11,26.08
2022-05-12,26.17
2022-05-13,25.5
2022-05-14,25.02
2022-05-15,26.46
2022-05-16,26.54
2022-05-17,30.02
2022-05-18,28.47
2022-05-19,27.62
2022-05-20,29.5
2022-05-21,31.73
2022-05-22,29.62
2022-05-23,27.24
2022-05-24,23.47
2022-05-25,23.59
2022-05-26,25.7
2022-05-27,29.22
2022-05-28,24.07
2022-05-29,18.52
2022-05-30,20.26
2022-05-31,23.66
2022-06-01,26.05
2022-06-02,28.78
2022-06-03,24.42
2022-06-04,28.52
2022-06-05,25.26
2022-06-06,28.68
2022-06-07,25.31
2022-06-08,25.06
2022-06-09,25.54
2022-06-10,28.76
2022-06-11,30.7
2022-06-12,32.4
2022-06-13,32.66
2022-06-14,30.15
2022-06-15,30.79
2022-06-16,33.21
2022-06-17,34.1
2022-06-18,32.74
2022-06-19,33.02
2022-06-20,32.72
2022-06-21,31.36
2022-06-22,26.12
2022-06-23,27.1
2022-06-24,23.7
2022-06-25,27.44
2022-06-26,29.14
2022-06-27,31.48
2022-06-28,25.51
2022-06-29,29.22
2022-06-30,28.54
2022-07-01,27.2
2022-07-02,32.04
2022-07-03,33.84
2022-07-04,32.75
2022-07-05,33.28
2022-07-06,31.99
2022-07-07,31.26
2022-07-08,32.34
2022-07-09,32.09
2022-07-10,32.1
2022-07-11,32.46
2022-07-12,29.26
2022-07-13,33.03
2022-07-14,33.31
2022-07-15,36.5
2022-07-16,34.83
2022-07-17,33.04
2022-07-18,34.74
2022-07-19,34.76
2022-07-20,34.97
2022-07-21,36.08
2022-07-22,36.16
2022-07-23,33.88
2022-07-24,33.83
2022-07-25,34.01
2022-07-26,34.58
2022-07-27,29.81
2022-07-28,28.81
2022-07-29,29.9
2022-07-30,32.11
2022-07-31,33.66
2022-08-01,34.81
2022-08-02,33.32
2022-08-03,34.42
2022-08-04,36.06
2022-08-05,35.76
2022-08-06,36.16
2022-08-07,28.94
2022-08-08,31.98
2022-08-09,31.84
2022-08-10,32.26
2022-08-11,31.03
2022-08-12,29.93
2022-08-13,29.48
2022-08-14,30.16
2022-08-15,29.61
2022-08-16,31.33
2022-08-17,27.2
2022-08-18,21.59
2022-08-19,25.55
2022-08-20,29.95
2022-08-21,29.65
2022-08-22,29.52
2022-08-23,30.14
2022-08-24,30.05
2022-08-25,30.86
2022-08-26,29.11
2022-08-27,27.01
2022-08-28,28.26
2022-08-29,29.08
2022-08-30,27.47
2022-08-31,26.35
2022-09-01,24.98
2022-09-02,24.92
2022-09-03,23.52
2022-09-04,26.05
2022-09-05,26.69
2022-09-06,28.08
2022-09-07,24.5
2022-09-08,24.79
2022-09-09,22.77
2022-09-10,24.97
2022-09-11,25.39
2022-09-12,25.9
2022-09-13,26.49
2022-09-14,25.55
2022-09-15,27.24
2022-09-16,27.33
2022-09-17,21.12
2022-09-18,22.21
2022-09-19,23.21
2022-09-20,22.55
2022-09-21,17.84
2022-09-22,20.66
2022-09-23,20.32
2022-09-24,14.7
2022-09-25,19.47
2022-09-26,20.28
2022-09-27,20.73
2022-09-28,19.37
2022-09-29,18.12
2022-09-30,14.45
2022-10-01,18.42
2022-10-02,22.7
2022-10-03,22.48
2022-10-04,21.27
2022-10-05,21.36
2022-10-06,22.49
2022-10-07,23.11
2022-10-08,22.25
2022-10-09,16.82
2022-10-10,18.24
2022-10-11,20.55
2022-10-12,20.35
2022-10-13,19.7
2022-10-14,18.97
2022-10-15,20.11
2022-10-16,20.16
2022-10-17,21.74
2022-10-18,21.88
2022-10-19,22.65
2022-10-20,21.26
2022-10-21,16.1
2022-10-22,19.78
2022-10-23,17.62
2022-10-24,16.33
2022-10-25,19.63
2022-10-26,20.75
2022-10-27,21.24
2022-10-28,21.66
2022-10-29,21.81
2022-10-30,22.05
2022-10-31,20.76
2022-11-01,17.05
2022-11-02,16.57
2022-11-03,14.78
2022-11-04,16.39
2022-11-05,17.17
2022-11-06,14.35
2022-11-07,15.16
2022-11-08,14.06
2022-11-09,13.29
2022-11-10,15.46
2022-11-11,15.86
2022-11-12,14.92
2022-11-13,14.1
2022-11-14,11.23
2022-11-15,9.7
2022-11-16,12.45
2022-11-17,12.76
2022-11-18,14.58
2022-11-19,11.76
2022-11-20,13.36
2022-11-21,11.31
2022-11-22,10.75
2022-11-23,11.76
2022-11-24,14.09
2022-11-25,10.36
2022-11-26,13.87
2022-11-27,11.09
2022-11-28,7.48
2022-11-29,6.08
2022-11-30,5.29
2022-12-01,8.97
2022-12-02,5.98
2022-12-03,6.04
2022-12-04,7.87
2022-12-05,7.82
2022-12-06,7.68
2022-12-07,5.24
2022-12-08,6.53
2022-12-09,4.23
2022-12-10,7.39
2022-12-11,6.72
2022-12-12,3.53
2022-12-13,2.43
2022-12-14,4.34
2022-12-15,2.25
2022-12-16,5.07
2022-12-17,6.87
2022-12-18,6.79
2022-12-19,6.42
2022-12-20,6.75
2022-12-21,8.89
2022-12-22,8.92
2022-12-23,8.76
2022-12-24,7.11
2022-12-25,10.23
2022-12-26,11.77
2022-12-27,12.13
2022-12-28,8.63
2022-12-29,9.87
2022-12-30,10.13
2022-12-31,11.37
2023-01-01,9.12
2023-01-02,9.22
2023-01-03,9.77
2023-01-04,10.13
2023-01-05,11.0
2023-01-06,7.62
2023-01-07,7.51
2023-01-08,6.91
2023-01-09,11.06
2023-01-10,10.99
2023-01-11,9.96
2023-01-12,9.24
2023-01-13,9.71
2023-01-14,9.54
2023-01-15,8.23
2023-01-16,4.74
2023-01-17,2.61
2023-01-18,5.56
2023-01-19,5.88
2023-01-20,5.94
2023-01-21,7.06
2023-01-22,7.34
2023-01-23,5.29
2023-01-24,9.63
2023-01-25,9.24
2023-01-26,5.19
2023-01-27,4.04
2023-01-28,6.56
2023-01-29,6.33
2023-01-30,7.72
2023-01-31,9.72
2023-02-01,10.88
2023-02-02,12.22
2023-02-03,12.13
2023-02-04,16.79
2023-02-05,8.39
2023-02-06,4.71
2023-02-07,5.42
2023-02-08,4.23
2023-02-09,3.32
2023-02-10,6.14
2023-02-11,9.28
2023-02-12,11.67
2023-02-13,11.13
2023-02-14,12.16
2023-02-15,13.53
2023-02-16,11.92
2023-02-17,12.13
2023-02-18,13.51
2023-02-19,13.68
2023-02-20,10.9
2023-02-21,12.38
2023-02-22,12.33
2023-02-23,13.36
2023-02-24,12.74
2023-02-25,14.31
2023-02-26,4.62
2023-02-27,4.9
2023-02-28,8.22
2023-03-01,8.67
2023-03-02,11.24
2023-03-03,13.2
2023-03-04,13.61
2023-03-05,14.19
2023-03-06,11.87
2023-03-07,11.48
2023-03-08,13.46
2023-03-09,17.04
2023-03-10,14.29
2023-03-11,11.53
2023-03-12,14.94
2023-03-13,14.36
2023-03-14,14.97
2023-03-15,12.84
2023-03-16,13.46
2023-03-17,12.8
2023-03-18,14.35
2023-03-19,14.6
2023-03-20,16.13
2023-03-21,17.18
2023-03-22,18.57
2023-03-23,18.19
2023-03-24,15.59
2023-03-25,17.75
2023-03-26,13.58
2023-03-27,15.25
2023-03-28,13.62
2023-03-29,15.9
2023-03-30,13.8
2023-03-31,13.4
2023-04-01,17.66
2023-04-02,17.46
2023-04-03,15.24
2023-04-04,11.93
2023-04-05,11.89
2023-04-06,12.32
2023-04-07,12.87
2023-04-08,17.75
2023-04-09,15.69
2023-04-10,15.34
2023-04-11,18.68
2023-04-12,16.87
2023-04-13,15.23
2023-04-14,17.95
2023-04-15,16.58
2023-04-16,19.13
2023-04-17,18.55
2023-04-18,20.54
2023-04-19,17.65
2023-04-20,12.42
2023-04-21,12.35
2023-04-22,18.57
2023-04-23,19.25
2023-04-24,19.7
2023-04-25,18.73
2023-04-26,18.88
2023-04-27,19.57
2023-04-28,20.33
2023-04-29,20.93
2023-04-30,17.74
2023-05-01,14.74
2023-05-02,20.95
2023-05-03,20.24
2023-05-04,20.45
2023-05-05,22.63
2023-05-06,24.53
2023-05-07,22.08
2023-05-08,20.88
2023-05-09,19.91
2023-05-10,17.16
2023-05-11,15.21
2023-05-12,16.58
2023-05-13,16.94
2023-05-14,17.68
2023-05-15,20.14
2023-05-16,19.32
2023-05-17,15.84
2023-05-18,18.05
2023-05-19,13.71
2023-05-20,16.04
2023-05-21,20.6
2023-05-22,23.66
2023-05-23,26.14
2023-05-24,21.28
2023-05-25,22.3
2023-05-26,26.08
2023-05-27,23.95
2023-05-28,22.64
2023-05-29,23.94
2023-05-30,23.7
2023-05-31,22.46
2023-06-01,24.57
2023-06-02,24.13
2023-06-03,22.38
2023-06-04,20.83
2023-06-07,22.9
2023-06-08,22.32
2023-06-09,22.74
2023-06-12,25.17
2023-06-13,21.86
2023-06-14,23.15
2023-06-15,24.76
2023-06-16,25.8
2023-06-17,26.47
2023-06-18,26.5
2023-06-19,26.04
2023-06-20,27.51
2023-06-21,28.75
2023-06-22,28.95
2023-06-23,29.31
2023-06-24,30.28
2023-06-25,29.48
2023-06-26,31.51
2023-06-27,31.55
2023-06-28,28.29
2023-06-29,26.43
2023-06-30,21.33
2023-07-01,26.15
2023-07-02,28.19
2023-07-03,26.14
2023-07-04,24.84
2023-07-05,26.03
2023-07-06,23.98
2023-07-07,27.02
2023-07-08,27.18
2023-07-09,30.81
2023-07-10,32.59
2023-07-11,32.81
2023-07-12,24.42
2023-07-13,27.59
2023-07-14,26.14
2023-07-15,28.94
2023-07-16,29.9
2023-07-17,30.98
2023-07-18,31.76
2023-07-19,31.57
2023-07-20,30.59
2023-07-21,24.31
2023-07-22,25.98
2023-07-23,26.64
2023-07-24,24.65
2023-07-25,26.07
2023-07-26,25.94
2023-07-27,25.46
2023-07-28,27.12
2023-07-29,27.41
2023-07-30,29.76
2023-07-31,28.41
2023-08-01,26.72
2023-08-02,28.24
2023-08-03,27.62
2023-08-04,21.44
2023-08-05,28.41
2023-08-06,26.09
2023-08-07,25.66
2023-08-08,25.95
2023-08-09,27.68
2023-08-10,27.69
2023-08-11,29.07
2023-08-12,29.96
2023-08-13,31.31
2023-08-14,31.52
2023-08-15,31.36
2023-08-16,30.34
2023-08-17,30.25
2023-08-18,32.7
2023-08-19,33.47
2023-08-20,33.78
2023-08-21,34.45
2023-08-22,35.01
2023-08-23,34.98
2023-08-24,35.54
2023-08-25,33.9
2023-08-26,27.39
2023-08-27,21.68
2023-08-28,17.37
2023-08-29,21.95
2023-08-30,23.97
2023-08-31,23.26
2023-09-01,24.36
2023-09-02,26.1
2023-09-03,27.9
2023-09-04,27.73
2023-09-05,23.77
2023-09-06,25.73
2023-09-07,26.37
2023-09-08,26.77
2023-09-09,27.25
2023-09-10,28.14
2023-09-11,28.56
2023-09-12,27.95
2023-09-13,21.59
2023-09-14,24.63
2023-09-15,21.96
2023-09-16,23.22
2023-09-17,24.88
2023-09-18,22.18
2023-09-19,25.06
2023-09-20,21.8
2023-09-21,20.63
2023-09-22,19.29
2023-09-23,20.59
2023-09-24,21.78
2023-09-25,22.11
2023-09-26,23.57
2023-09-27,24.69
2023-09-28,24.59
2023-09-29,24.4
2023-09-30,24.85
2023-10-01,24.93
2023-10-02,24.7
2023-10-03,24.28
2023-10-04,22.26
2023-10-05,22.57
2023-10-06,23.28
2023-10-07,23.83
2023-10-08,26.89
2023-10-09,27.7
2023-10-10,24.99
2023-10-11,23.47
2023-10-12,22.77
2023-10-13,22.18
2023-10-14,21.66
2023-10-15,20.93
2023-10-16,16.59
2023-10-17,16.12
2023-10-18,13.95
2023-10-19,12.85
2023-10-20,17.69
2023-10-21,16.86
2023-10-22,17.9
2023-10-23,16.81
2023-10-24,14.23
2023-10-25,16.9
2023-10-26,16.39
2023-10-27,19.15
2023-10-28,17.25
2023-10-29,15.79
2023-10-30,13.79
2023-10-31,17.0
2023-11-01,12.97
2023-11-02,11.6
2023-11-03,13.71
2023-11-04,11.06
2023-11-05,13.36
2023-11-06,13.89
2023-11-07,12.82
2023-11-08,13.22
2023-11-09,9.59
2023-11-10,11.6
2023-11-11,13.23
2023-11-12,11.6
2023-11-13,13.48
2023-11-14,15.16
2023-11-15,14.71
2023-11-16,12.88
2023-11-17,15.02
2023-11-18,12.95
2023-11-19,13.15
2023-11-20,11.2
2023-11-21,12.76
2023-11-22,14.38
