Date,GFS_850hPa_Temp
2021-05-12,8.4
2021-05-13,8.73
2021-05-14,6.14
2021-05-15,6.2
2021-05-16,8.11
2021-05-17,10.06
2021-05-18,8.41
2021-05-19,9.28
2021-05-20,9.11
2021-05-21,6.43
2021-05-22,5.91
2021-05-23,9.78
2021-05-24,5.38
2021-05-25,9.31
2021-05-26,8.0
2021-05-27,10.54
2021-05-28,9.74
2021-05-29,10.69
2021-05-30,9.1
2021-05-31,8.03
2021-06-01,10.31
2021-06-02,10.6
2021-06-03,12.24
2021-06-04,13.63
2021-06-05,12.34
2021-06-06,13.31
2021-06-07,12.34
2021-06-08,12.97
2021-06-09,14.55
2021-06-10,14.97
2021-06-11,14.83
2021-06-12,15.68
2021-06-13,19.45
2021-06-14,16.08
2021-06-15,14.9
2021-06-16,16.32
2021-06-17,16.69
2021-06-18,16.93
2021-06-19,18.55
2021-06-20,18.2
2021-06-21,14.42
2021-06-22,14.22
2021-06-23,15.06
2021-06-24,14.99
2021-06-25,14.76
2021-06-26,16.2
2021-06-27,17.11
2021-06-28,18.77
2021-06-29,15.93
2021-06-30,15.53
2021-07-01,16.72
2021-07-02,17.22
2021-07-03,16.67
2021-07-04,12.15
2021-07-05,15.26
2021-07-06,16.45
2021-07-07,17.0
2021-07-08,15.3
2021-07-09,15.56
2021-07-10,15.78
2021-07-11,16.84
2021-07-12,18.01
2021-07-13,13.57
2021-07-14,12.19
2021-07-15,11.83
2021-07-16,15.1
2021-07-17,19.2
2021-07-18,20.31
2021-07-19,19.75
2021-07-20,20.48
2021-07-21,20.2
2021-07-22,18.35
2021-07-23,18.16
2021-07-24,19.36
2021-07-25,15.5
2021-07-26,14.74
2021-07-27,14.55
2021-07-28,14.89
2021-07-29,15.73
2021-07-30,16.44
2021-07-31,15.42
2021-08-01,13.92
2021-08-02,12.63
2021-08-03,11.69
2021-08-04,11.84
2021-08-05,16.63
2021-08-06,14.86
2021-08-07,13.95
2021-08-08,13.29
2021-08-09,14.71
2021-08-10,16.27
2021-08-11,19.92
2021-08-12,19.49
2021-08-13,20.21
2021-08-14,21.35
2021-08-15,21.96
2021-08-16,19.32
2021-08-17,17.28
2021-08-18,15.67
2021-08-19,16.03
2021-08-20,17.1
2021-08-21,18.29
2021-08-22,18.36
2021-08-23,15.35
2021-08-24,15.95
2021-08-25,13.19
2021-08-26,16.7
2021-08-27,11.34
2021-08-28,13.05
2021-08-29,12.87
2021-08-30,14.06
2021-08-31,13.88
2021-09-01,14.53
2021-09-02,14.34
2021-09-03,14.21
2021-09-04,15.15
2021-09-05,15.67
2021-09-06,14.72
2021-09-07,14.87
2021-09-08,14.35
2021-09-09,14.24
2021-09-10,14.32
2021-09-11,15.73
2021-09-12,16.26
2021-09-13,16.58
2021-09-14,15.67
2021-09-15,13.62
2021-09-16,12.38
2021-09-17,15.05
2021-09-18,12.19
2021-09-19,10.7
2021-09-20,9.78
2021-09-21,8.22
2021-09-22,10.4
2021-09-23,9.16
2021-09-24,13.27
2021-09-25,10.97
2021-09-26,11.47
2021-09-27,14.07
2021-09-28,12.57
2021-09-29,11.28
2021-09-30,8.66
2021-10-01,8.66
2021-10-02,8.87
2021-10-03,9.81
2021-10-04,10.49
2021-10-05,7.58
2021-10-06,7.88
2021-10-07,7.47
2021-10-08,7.56
2021-10-09,3.28
2021-10-10,3.83
2021-10-11,9.49
2021-10-12,6.12
2021-10-13,6.37
2021-10-14,2.69
2021-10-15,7.23
2021-10-16,6.25
2021-10-17,6.97
2021-10-18,9.01
2021-10-19,9.27
2021-10-20,6.27
2021-10-21,7.43
2021-10-22,9.07
2021-10-23,6.72
2021-10-24,6.82
2021-10-25,8.2
2021-10-26,8.73
2021-10-27,6.87
2021-10-28,8.59
2021-10-29,6.52
2021-10-30,2.63
2021-10-31,4.82
2021-11-01,3.92
2021-11-02,5.38
2021-11-03,3.91
2021-11-04,2.08
2021-11-05,3.6
2021-11-06,4.05
2021-11-07,8.89
2021-11-08,2.73
