date,n_trades,n_wins,total_stake,total_pnl,bankroll_after,daily_roi
2026-03-17,1,1,23.692544224783276,15.14769220928767,1015.1476922092877,0.639344262295082
2026-03-18,2,1,63.966455868430245,-28.171371210389566,986.9763209988981,-0.44040850517549396
2026-03-19,1,1,37.30933420897256,12.436444736324184,999.4127657352224,0.33333333333333326
2026-03-22,2,1,83.23690508980836,-12.086760912858232,987.3260048223641,-0.1452091581230373
2026-03-23,1,1,27.5685133554656,19.157780467357455,1006.4837852897216,0.6949152542372883
2026-03-24,2,1,83.94204300983486,-34.42265122130135,972.0611340684202,-0.4100764049460686
2026-03-25,1,1,23.500983705930107,13.80216503364149,985.8632991020617,0.5873015873015872
2026-03-26,1,0,23.70001892861246,-23.70001892861246,962.1632801734492,-1.0
2026-03-27,2,1,54.1758001462031,-20.928582069971643,941.2346981034775,-0.38630868420018005
2026-03-29,1,0,31.81096557452892,-31.81096557452892,909.4237325289486,-1.0
2026-03-30,2,1,47.961987650148686,-15.277782344155295,894.1459501847933,-0.31853939114443547
2026-04-01,2,1,54.03993413235695,-11.217581331284773,882.9283688535085,-0.20757947823937362
2026-04-07,1,0,35.00847160600987,-35.00847160600987,847.9198972474986,-1.0
2026-04-12,3,2,69.10916546412146,3.8016500491513945,851.72154729665,0.055009346786643654
2026-04-17,2,1,40.333196912461034,-14.713528291518832,837.0080190051311,-0.3647994559779876
2026-04-18,2,1,48.60343652558679,-10.574431400822935,826.4335876043082,-0.21756550887623208
2026-04-19,1,1,17.445664030116898,11.153785199582936,837.5873728038911,0.639344262295082
2026-04-21,2,1,44.705622228345476,-1.8943351766160745,835.693037627275,-0.04237353339900449
2026-04-29,1,1,16.86712852868615,9.487759797385959,845.1807974246609,0.5625
2026-05-08,3,2,77.62167942020987,-12.742231479582493,832.4385659450784,-0.16415815239711082
2026-05-10,1,0,22.92432367263435,-22.92432367263435,809.514242272444,-1.0
2026-05-11,2,2,67.421052104843,30.823268189062226,840.3375104615062,0.45717572222294234
2026-05-14,2,1,48.74928534861792,-22.525843588924282,817.8116668725819,-0.46207536024039186
2026-05-15,2,1,52.79595477089363,-29.26146193319795,788.550204939384,-0.5542368171989148
